timestamp,25° or below,26° to 27°,28° to 29°,30° to 31°,32° to 33°,34° or above
2025-12-15T20:17:00Z,,,69.00,39.00,3.00,
2025-12-15T20:18:00Z,,,69.00,39.29,3.00,
2025-12-15T20:19:00Z,,,69.00,40.00,3.00,
2025-12-15T20:20:00Z,,,69.00,40.00,2.00,
2025-12-15T20:21:00Z,,,69.00,40.00,2.28,
2025-12-15T20:22:00Z,,,69.00,40.00,3.00,
2025-12-15T20:23:00Z,,,69.23,39.00,3.00,
2025-12-15T20:24:00Z,,,70.00,39.71,2.00,
2025-12-15T20:25:00Z,,,70.00,40.00,2.11,
2025-12-15T20:26:00Z,,,70.00,40.00,3.00,
2025-12-15T20:27:00Z,,,69.00,40.00,3.00,
2025-12-15T20:28:00Z,,,69.18,40.00,3.00,
2025-12-15T20:29:00Z,,,70.00,40.00,2.00,
2025-12-15T20:30:00Z,,,70.00,39.00,2.00,
2025-12-15T20:31:00Z,,,70.00,39.19,2.71,
2025-12-15T20:32:00Z,,,69.00,40.00,3.00,
2025-12-15T20:33:00Z,,,69.00,40.00,3.00,
2025-12-15T20:34:00Z,,,69.00,39.13,3.00,
2025-12-15T20:35:00Z,,,69.00,39.00,3.00,
2025-12-15T21:05:00Z,,,69.00,39.00,2.00,
2025-12-15T21:06:00Z,,,69.00,39.86,2.00,
2025-12-15T21:07:00Z,,,69.00,40.00,2.00,
2025-12-15T21:08:00Z,,,69.00,40.00,2.00,
2025-12-15T21:09:00Z,,,69.00,40.00,2.41,
2025-12-15T21:10:00Z,,,69.00,40.00,3.00,
2025-12-15T21:11:00Z,,,99.00,40.00,3.00,
2025-12-15T21:12:00Z,,,99.00,40.00,3.00,
2025-12-15T21:13:00Z,,,99.00,40.00,3.00,
2025-12-15T21:14:00Z,,,99.00,40.00,3.00,
2025-12-15T21:15:00Z,,,99.00,40.00,3.00,
2025-12-15T21:19:00Z,,,99.00,40.00,3.00,
2025-12-15T21:20:00Z,,,99.00,40.00,3.00,
2025-12-15T21:21:00Z,,,99.00,40.00,3.00,
2025-12-15T21:22:00Z,,,99.00,40.00,3.00,
2025-12-15T21:23:00Z,,,99.00,40.00,3.00,
2025-12-15T21:24:00Z,,,99.00,40.00,3.00,
2025-12-15T21:25:00Z,,,99.00,40.00,3.00,
2025-12-15T21:26:00Z,,,99.00,40.00,3.00,
2025-12-15T21:27:00Z,,,99.00,40.00,3.00,
2025-12-15T21:28:00Z,,,99.00,40.00,3.00,
2025-12-15T21:29:00Z,,,99.00,40.00,3.00,
2025-12-15T21:30:00Z,,,99.00,40.00,3.00,
2025-12-15T21:31:00Z,,,99.00,40.00,3.00,
2025-12-15T21:32:00Z,,,99.00,40.00,3.00,
2025-12-15T21:33:00Z,,,99.00,40.00,3.00,
2025-12-15T21:36:00Z,,,99.00,40.00,3.00,
2025-12-15T21:37:00Z,,,99.00,40.00,3.00,
2025-12-15T22:20:00Z,,,98.00,40.00,3.00,
2025-12-15T22:21:00Z,,,98.00,40.00,3.00,
2025-12-15T22:22:00Z,,,98.00,40.00,3.00,
2025-12-15T22:23:00Z,,,98.03,40.00,3.00,
2025-12-15T22:24:00Z,,,99.00,40.00,3.00,
2025-12-15T22:25:00Z,,,99.00,40.00,3.00,
2025-12-15T22:26:00Z,,,99.00,40.00,3.00,
2025-12-15T22:27:00Z,,,98.05,40.00,3.00,
2025-12-15T22:28:00Z,,,98.14,40.00,3.00,
2025-12-15T22:29:00Z,,,99.00,40.00,3.00,
2025-12-15T22:30:00Z,,,99.00,40.00,3.00,
2025-12-15T22:31:00Z,,,99.00,40.00,3.00,
2025-12-15T22:32:00Z,,,98.00,40.00,3.00,
2025-12-15T22:33:00Z,,,98.76,40.00,3.00,
2025-12-15T22:34:00Z,,,98.00,40.00,3.00,
2025-12-15T22:35:00Z,,,98.06,40.00,3.00,
2025-12-15T22:36:00Z,,,99.00,40.00,3.00,
2025-12-15T22:37:00Z,,,99.00,40.00,3.00,
2025-12-15T22:39:00Z,,,98.00,40.00,3.00,
2025-12-15T22:40:00Z,,,98.00,40.00,3.00,
2025-12-15T22:41:00Z,,,98.86,40.00,3.00,
2025-12-15T22:42:00Z,,,99.00,40.00,3.00,
2025-12-15T22:43:00Z,,,98.77,40.00,3.00,
2025-12-15T22:44:00Z,,,98.00,40.00,3.00,
2025-12-15T22:45:00Z,,,98.40,40.00,3.00,
2025-12-15T22:46:00Z,,,99.00,40.00,3.00,
2025-12-15T22:47:00Z,,,99.00,40.00,3.00,
2025-12-15T22:48:00Z,,,98.00,40.00,3.00,
2025-12-15T22:49:00Z,,,98.00,40.00,3.00,
2025-12-15T22:50:00Z,,,98.00,40.00,3.00,
2025-12-15T22:51:00Z,,,98.00,40.00,3.00,
2025-12-15T22:52:00Z,,,98.90,40.00,3.00,
2025-12-15T22:53:00Z,,,99.00,40.00,3.00,
2025-12-15T22:54:00Z,,,99.00,40.00,3.00,
2025-12-15T22:58:00Z,,,98.00,40.00,3.00,
2025-12-15T22:59:00Z,,,98.73,40.00,3.00,
2025-12-15T23:00:00Z,,,99.00,40.00,3.00,
2025-12-15T23:01:00Z,,,99.00,40.00,3.00,
2025-12-15T23:02:00Z,,,98.00,40.00,3.00,
2025-12-15T23:03:00Z,,,98.00,40.00,3.00,
2025-12-15T23:04:00Z,,,98.73,40.00,3.00,
2025-12-15T23:05:00Z,,,99.00,40.00,3.00,
2025-12-15T23:06:00Z,,,99.00,40.00,3.00,
2025-12-15T23:07:00Z,,,99.00,40.00,3.00,
2025-12-15T23:11:00Z,,,97.00,34.33,3.00,
2025-12-15T23:12:00Z,,,98.00,9.00,3.00,
2025-12-15T23:13:00Z,,,98.00,9.00,3.00,
2025-12-15T23:14:00Z,,,98.00,9.68,3.00,
2025-12-15T23:15:00Z,,,97.58,10.00,3.00,
2025-12-15T23:16:00Z,,,97.08,10.00,3.00,
2025-12-15T23:17:00Z,,,98.00,10.00,3.00,
2025-12-15T23:18:00Z,,,98.00,10.00,3.00,
2025-12-15T23:19:00Z,,,98.00,10.00,3.00,
2025-12-15T23:28:00Z,,,98.00,9.00,3.00,
2025-12-15T23:29:00Z,,,97.00,9.58,3.00,
2025-12-15T23:30:00Z,,,97.00,9.26,3.00,
2025-12-15T23:31:00Z,,,97.00,10.00,3.00,
2025-12-15T23:32:00Z,,,97.00,10.00,3.00,
2025-12-15T23:33:00Z,,,97.00,10.00,3.00,
2025-12-15T23:34:00Z,,,97.00,10.00,3.00,
2025-12-15T23:35:00Z,,,97.00,10.00,3.00,
2025-12-15T23:36:00Z,,,97.73,9.00,3.00,
2025-12-15T23:37:00Z,,,98.00,9.00,3.00,
2025-12-15T23:38:00Z,,,98.00,9.00,3.00,
2025-12-15T23:39:00Z,,,98.00,9.79,3.00,
2025-12-15T23:40:00Z,,,98.00,10.00,3.00,
2025-12-15T23:41:00Z,,,98.00,10.00,3.00,
2025-12-15T23:42:00Z,,,98.00,9.00,3.00,
2025-12-15T23:43:00Z,,,98.00,9.00,3.00,
2025-12-15T23:44:00Z,,,98.00,9.90,3.00,
2025-12-15T23:45:00Z,,,98.00,10.00,3.00,
2025-12-15T23:46:00Z,,,98.00,10.00,3.00,
2025-12-15T23:47:00Z,,,98.00,9.00,3.00,
2025-12-15T23:48:00Z,,,98.00,9.27,3.00,
2025-12-15T23:49:00Z,,,98.00,10.00,3.00,
2025-12-15T23:50:00Z,,,98.00,10.00,3.00,
2025-12-15T23:51:00Z,,,97.00,10.00,3.00,
2025-12-15T23:52:00Z,,,97.00,9.00,3.00,
2025-12-15T23:53:00Z,,,97.86,9.00,3.00,
2025-12-15T23:54:00Z,,,98.00,9.85,3.00,
2025-12-15T23:55:00Z,,,98.00,10.00,3.00,
2025-12-15T23:56:00Z,,,98.00,10.00,3.00,
2025-12-15T23:57:00Z,,,97.00,10.00,3.00,
2025-12-15T23:58:00Z,,,97.00,9.00,3.00,
2025-12-15T23:59:00Z,,,97.69,9.46,3.00,
2025-12-16T00:00:00Z,,,98.00,10.00,3.00,
2025-12-16T00:01:00Z,,,97.00,10.00,3.00,
2025-12-16T00:02:00Z,,,97.00,10.00,3.00,
2025-12-16T00:03:00Z,,,97.81,10.00,3.00,
2025-12-16T00:04:00Z,,,98.00,9.00,3.00,
2025-12-16T00:05:00Z,,,98.00,9.77,3.00,
2025-12-16T00:06:00Z,,,98.00,10.00,3.00,
2025-12-16T00:07:00Z,,,98.00,10.00,3.00,
2025-12-16T00:08:00Z,,,98.00,10.00,3.00,
2025-12-16T00:09:00Z,,,97.00,10.00,3.00,
2025-12-16T00:10:00Z,,,97.72,9.00,3.00,
2025-12-16T00:11:00Z,,,98.00,9.45,3.00,
2025-12-16T00:12:00Z,,,98.00,10.00,3.00,
2025-12-16T00:13:00Z,,,98.00,10.00,3.00,
2025-12-16T00:14:00Z,,,97.00,9.00,3.00,
2025-12-16T00:15:00Z,,,97.00,9.00,3.00,
2025-12-16T00:16:00Z,,,97.57,9.72,3.00,
2025-12-16T00:17:00Z,,,98.00,10.00,3.00,
2025-12-16T00:18:00Z,,,98.00,10.00,3.00,
2025-12-16T00:19:00Z,,,98.00,10.00,3.00,
2025-12-16T00:20:00Z,,,98.00,9.00,3.00,
2025-12-16T00:21:00Z,,,97.00,9.00,3.00,
2025-12-16T00:22:00Z,,,97.57,9.45,3.00,
2025-12-16T00:23:00Z,,,98.00,10.00,3.00,
2025-12-16T00:24:00Z,,,98.00,10.00,3.00,
2025-12-16T00:25:00Z,,,98.00,9.09,3.00,
2025-12-16T00:26:00Z,,,98.00,9.73,3.00,
2025-12-16T00:27:00Z,,,98.00,10.00,3.00,
2025-12-16T00:28:00Z,,,97.00,10.00,3.00,
2025-12-16T00:29:00Z,,,97.50,9.00,3.00,
2025-12-16T00:30:00Z,,,98.00,9.86,3.00,
2025-12-16T00:31:00Z,,,98.00,10.00,3.00,
2025-12-16T00:34:00Z,,,98.00,10.00,3.00,
2025-12-16T00:35:00Z,,,98.00,10.00,3.00,
2025-12-16T00:36:00Z,,,98.00,10.00,3.00,